"","Year","District.Code","District.Name","Neighborhood.Code","Neighborhood.Name","Age","Death_Number","By_Age_Immigrants","By_Age_Emigrants","Spain","Italy","Colombia","Venezuela","Pakistan","France","Morocco","United Kingdom","India","Germany","Bangladesh","Philippines","United States","China","Peru","Argentina","Brasil","Dominican Republic","Honduras","Population_Number_Male","Population_Number_Female","By_Sex_Immigrants_Male","By_Sex_Immigrants_Female","By_Sex_Emigrants_Male","By_Sex_Emigrants_Female","Birth_Number_Male","Birth_Number_Female","Unemployment_Number_Male_Registered unemployed","Unemployment_Number_Male_Unemployment demand","Unemployment_Number_Female_Registered unemployed","Unemployment_Number_Female_Unemployment demand"
"1",2017,1,"Ciutat Vella",1,"el Raval","0-4",1,154,108,1109,360,104,106,605,209,166,150,203,101,470,293,0,0,0,0,0,0,0,217.2,206.6,3063,2337,1195,910,283,219,23763,5131,17053,3659
"2",2017,1,"Ciutat Vella",2,"el Barri Gòtic","0-4",1,58,33,482,275,0,0,262,147,0,0,115,0,0,0,0,0,0,0,0,0,0,48.25,45,1499,1188,427,353,56,53,5799,1665,4723,1339
"3",2017,1,"Ciutat Vella",3,"la Barceloneta","0-4",0,38,37,414,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,46.6,910,849,361,353,51,50,6128,2159,5957,1722
"4",2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","0-4",0,56,55,537,355,0,0,0,157,148,118,0,0,0,0,105,0,0,0,0,0,0,86.6,75.2,1438,1327,502,528,90,90,8464,2937,8232,2369
"5",2017,2,"Eixample",5,"el Fort Pienc","0-4",0,79,60,663,207,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,132.4,127,1082,1155,495,586,117,114,6998,2144,8376,2367
"6",2017,2,"Eixample",6,"la Sagrada Família","0-4",1,111,95,1181,295,155,225,0,0,0,0,0,0,0,0,0,210,115,105,0,0,0,191.4,191.2,1693,1898,796,890,207,183,11171,3550,13872,3872
"7",2017,2,"Eixample",7,"la Dreta de l'Eixample","0-4",0,121,78,1063,284,101,0,0,202,0,0,0,0,0,0,124,0,0,0,0,0,0,195.25,173.6,1543,1657,666,803,185,159,7341,1825,8927,2545
"8",2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","0-4",0,97,63,1177,280,163,135,0,125,0,0,0,0,0,0,0,105,0,106,119,0,0,163,161,1693,1774,702,672,176,164,8384,2206,9540,2580
"9",2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","0-4",0,123,130,1593,314,174,129,0,0,0,0,0,0,0,0,0,200,132,101,118,0,0,222.2,207,1927,2135,925,1034,218,242,12553,3958,14307,4486
"10",2017,2,"Eixample",10,"Sant Antoni","0-4",0,57,80,883,188,106,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,154.6,139,1253,1237,632,682,172,130,9372,2750,10094,3089
"11",2017,3,"Sants-Montjuïc",11,"el Poble Sec","0-4",1,80,99,826,270,0,0,198,0,133,0,138,0,0,0,0,0,0,0,0,105,0,180.6,155.8,1595,1492,887,790,156,174,13611,3634,14078,3397
"12",2017,3,"Sants-Montjuïc",13,"la Marina de Port","0-4",0,71,59,574,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,121.2,130.2,724,775,516,511,119,117,9110,2339,11951,2474
"13",2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","0-4",0,14,15,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,35.2,351,295,193,200,42,30,3404,907,3578,854
